main,description,pressure,visibility,humidity,dt,TempCelcius,TempCelciusMin,TempCelciusMax,hours,day_of_week,date_num
Clouds,broken clouds,1038,10000,73,2023-02-28 17:06:46,6.550000000000011,6.2900000000000205,6.879999999999996,17,Tuesday,22817
Clouds,broken clouds,1037,10000,75,2023-02-28 18:06:48,6.180000000000007,5.32000000000005,6.670000000000016,18,Tuesday,22818
Clouds,broken clouds,1037,10000,75,2023-02-28 19:06:50,6.270000000000039,5.32000000000005,6.879999999999996,19,Tuesday,22819
Clouds,broken clouds,1038,10000,74,2023-02-28 20:06:51,6.550000000000011,6.2900000000000205,6.879999999999996,20,Tuesday,22820
Clouds,broken clouds,1037,10000,74,2023-02-28 21:06:52,6.150000000000034,5.360000000000014,6.670000000000016,21,Tuesday,22821
Clouds,broken clouds,1037,10000,78,2023-02-28 22:28:10,6.220000000000027,5.32000000000005,6.879999999999996,22,Tuesday,22822
Clouds,broken clouds,1038,10000,78,2023-02-28 23:28:11,6.170000000000016,5.360000000000014,7.150000000000034,23,Tuesday,22823
Clouds,broken clouds,1038,10000,81,2023-03-01 00:28:13,6.390000000000043,5.360000000000014,7.150000000000034,0,Wednesday,30100
Clouds,broken clouds,1037,10000,80,2023-03-01 01:28:13,6.910000000000025,6.2900000000000205,7.430000000000007,1,Wednesday,30101
Clouds,broken clouds,1037,10000,76,2023-03-01 02:28:14,6.7900000000000205,6.2900000000000205,7.220000000000027,2,Wednesday,30102
Clouds,broken clouds,1036,10000,78,2023-03-01 03:28:15,6.730000000000018,6.2900000000000205,7.220000000000027,3,Wednesday,30103
Clouds,broken clouds,1036,10000,75,2023-03-01 04:28:16,6.53000000000003,5.879999999999996,7.210000000000036,4,Wednesday,30104
Clouds,broken clouds,1035,10000,77,2023-03-01 05:28:18,6.550000000000011,6.2900000000000205,6.879999999999996,5,Wednesday,30105
Clouds,broken clouds,1036,10000,81,2023-03-01 06:28:18,6.330000000000041,6.110000000000014,6.650000000000034,6,Wednesday,30106
Drizzle,light intensity drizzle,1036,10000,82,2023-03-01 07:28:19,6.0400000000000205,5.53000000000003,6.360000000000014,7,Wednesday,30107
Drizzle,light intensity drizzle,1036,10000,80,2023-03-01 08:28:20,6.160000000000025,5.53000000000003,6.670000000000016,8,Wednesday,30108
Clouds,broken clouds,1035,10000,80,2023-03-01 09:28:21,6.220000000000027,5.740000000000009,6.670000000000016,9,Wednesday,30109
Clouds,scattered clouds,1036,10000,80,2023-03-01 10:28:22,6.410000000000025,5.740000000000009,7.150000000000034,10,Wednesday,30110
Clouds,broken clouds,1036,10000,78,2023-03-01 11:28:23,7.220000000000027,6.53000000000003,7.54000000000002,11,Wednesday,30111
Clouds,broken clouds,1035,10000,75,2023-03-01 12:28:24,7.760000000000048,6.650000000000034,8.650000000000034,12,Wednesday,30112
Clouds,broken clouds,1034,10000,73,2023-03-01 13:28:25,8.470000000000027,7.53000000000003,9.210000000000036,13,Wednesday,30113
Clouds,broken clouds,1034,10000,74,2023-03-01 14:28:26,7.800000000000011,7.210000000000036,8.100000000000023,14,Wednesday,30114
Clouds,broken clouds,1033,10000,76,2023-03-01 15:28:28,7.700000000000045,7.360000000000014,8.100000000000023,15,Wednesday,30115
Clouds,broken clouds,1032,10000,74,2023-03-01 16:28:30,7.640000000000043,7.210000000000036,7.990000000000009,16,Wednesday,30116
Clouds,scattered clouds,1032,10000,76,2023-03-01 17:28:31,7.5,7.150000000000034,7.78000000000003,17,Wednesday,30117
Clouds,broken clouds,1032,10000,78,2023-03-01 18:28:32,7.080000000000041,6.53000000000003,7.430000000000007,18,Wednesday,30118
Clouds,broken clouds,1031,10000,79,2023-03-01 19:28:33,7.170000000000016,6.360000000000014,7.78000000000003,19,Wednesday,30119
Clouds,broken clouds,1031,10000,77,2023-03-01 20:28:34,7.32000000000005,6.360000000000014,7.990000000000009,20,Wednesday,30120
Clouds,broken clouds,1030,10000,73,2023-03-01 21:28:35,7.54000000000002,6.850000000000023,7.990000000000009,21,Wednesday,30121
Clouds,broken clouds,1030,10000,74,2023-03-01 22:28:35,7.390000000000043,6.850000000000023,7.78000000000003,22,Wednesday,30122
Clouds,broken clouds,1030,10000,78,2023-03-01 23:28:36,7.170000000000016,6.850000000000023,7.53000000000003,23,Wednesday,30123
Clouds,broken clouds,1030,10000,81,2023-03-02 00:28:37,6.610000000000014,6.2900000000000205,7.210000000000036,0,Thursday,30200
Clouds,broken clouds,1029,10000,81,2023-03-02 01:28:38,6.730000000000018,6.2900000000000205,7.220000000000027,1,Thursday,30201
Clouds,broken clouds,1029,10000,84,2023-03-02 02:28:40,6.510000000000048,6.2900000000000205,6.879999999999996,2,Thursday,30202
Clouds,broken clouds,1029,10000,84,2023-03-02 03:28:40,6.490000000000009,6.090000000000032,6.670000000000016,3,Thursday,30203
